Python,EDA,SQL,POWER BI,Statistics
1 - a,"21 - a,b,c","41 - a,b,c,d","61 - a,b,c,d","81 - a,c,d"
2 -,"22 - a,b,c,d","42 - a,b","62 - a,b,c,d","82 - a,b,c,d"
3 -,23 -,"43 - a,b,c,d","63 - a,b,c","83 - a,b,c"
4 -,24 -,44 - d,"64 - a,b,c","84 - a,b,c"
5 -,25 -,"45 - a,b,d","65 - a,b,d","85 - a,b,c"
6 -,26 -,46 -,"66 - b,c,d",86 - a
7 -,27 -,47 -,"67 - a,b,c,d",87 - c
8 -,28 -,48 -,"68 - b,c,d",88 -
9 -,29 -,49 -,"69 - a,b,c,d",89 -
10 -,30 -,50 -,"70 - a,b,c",90 -
11 -,31 -,51 -,71 -,91 -
12 -,32 -,52 -,72 -,92 -
13 -,33 -,53 -,73 -,93 -
14 -,34 -,54 -,74 -,94 -
15 -,35 -,55 -,75 -,95 -
16 -,36 -,56 -,76 -,96 -
17 -,37 -,57 -,77 -,97 -
18 -,38 -,58 -,78 -,98 -
19 -,39 -,59 -,79 -,99 -
20 -,40 -,60 -,80 -,100 -
